Filename	Sq12OCB550T150
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	2/8/2021
Sample name	Sq12OCB550T150
proceduresegments	Jump 100.00 °C; Isothermal 10.0 min; Jump 0.00 °C; Isothermal 5.0 min; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 1.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 100.00 °C; Mark End of Cycle ; Jump 0.00 °C; Mark End of Cycle 
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
4500.30	98.94	-0.190829
4500.40	98.95	-0.190972
4500.50	98.96	-0.191011
4500.60	98.97	-0.191017
4500.70	98.97	-0.191063
4500.80	98.98	-0.191069
4500.90	98.99	-0.191053
4501.00	99.00	-0.190951
4501.10	99.01	-0.190889
4501.20	99.02	-0.190884
4501.30	99.02	-0.190875
4501.40	99.03	-0.190870
4501.50	99.04	-0.190866
4501.60	99.05	-0.190864
4501.70	99.06	-0.190870
4501.80	99.06	-0.190941
4501.90	99.07	-0.190957
4502.00	99.08	-0.190956
4502.10	99.09	-0.190956
4502.20	99.10	-0.190962
4502.30	99.11	-0.191125
4502.40	99.11	-0.191538
4502.50	99.12	-0.192555
4502.60	99.13	-0.194034
4502.70	99.14	-0.196787
4502.80	99.14	-0.201088
4502.90	99.15	-0.202192
4503.00	99.16	-0.202446
4503.10	99.17	-0.202840
4503.20	99.17	-0.203725
4503.30	99.18	-0.204958
4503.40	99.19	-0.206757
4503.50	99.20	-0.208531
4503.60	99.20	-0.211269
4503.70	99.21	-0.214010
4503.80	99.22	-0.218423
4503.90	99.22	-0.221443
4504.00	99.23	-0.225298
4504.10	99.24	-0.228621
4504.20	99.25	-0.232486
4504.30	99.25	-0.235480
4504.40	99.26	-0.238055
4504.50	99.27	-0.240355
4504.60	99.27	-0.242442
4504.70	99.28	-0.245276
4504.80	99.28	-0.247590
4504.90	99.29	-0.250415
4505.00	99.29	-0.252118
4505.10	99.30	-0.254560
4505.20	99.31	-0.256623
4505.30	99.31	-0.259170
4505.40	99.32	-0.261540
4505.50	99.32	-0.263245
4505.60	99.33	-0.264721
4505.70	99.33	-0.267057
4505.80	99.34	-0.269166
4505.90	99.34	-0.270463
4506.00	99.35	-0.272051
4506.10	99.35	-0.272993
4506.20	99.36	-0.273328
4506.30	99.36	-0.273906
4506.40	99.37	-0.274089
4506.50	99.37	-0.274613
4506.60	99.38	-0.274095
4506.70	99.38	-0.273554
4506.80	99.39	-0.273638
4506.90	99.39	-0.274283
4507.00	99.39	-0.274082
4507.10	99.40	-0.274520
4507.20	99.40	-0.273977
4507.30	99.40	-0.273200
4507.40	99.41	-0.272161
4507.50	99.41	-0.271096
4507.60	99.42	-0.269832
4507.70	99.42	-0.268599
4507.80	99.42	-0.266591
4507.90	99.43	-0.264059
4508.00	99.43	-0.262648
4508.10	99.43	-0.261216
4508.20	99.43	-0.259780
4508.30	99.44	-0.257861
4508.40	99.44	-0.256132
4508.50	99.44	-0.253968
4508.60	99.45	-0.251895
4508.70	99.45	-0.249822
4508.80	99.45	-0.248207
4508.90	99.45	-0.246115
4509.00	99.46	-0.243370
4509.10	99.46	-0.240696
4509.20	99.46	-0.238260
4509.30	99.46	-0.235085
4509.40	99.46	-0.232347
4509.50	99.47	-0.229300
4509.60	99.47	-0.226048
4509.70	99.47	-0.223136
4509.80	99.47	-0.220595
4509.90	99.48	-0.218475
4510.00	99.48	-0.216231
4510.10	99.48	-0.214079
4510.20	99.48	-0.211604
4510.30	99.48	-0.208936
4510.40	99.48	-0.205803
4510.50	99.49	-0.203010
4510.60	99.49	-0.200357
4510.70	99.49	-0.197675
4510.80	99.49	-0.195100
4510.90	99.49	-0.192644
4511.00	99.49	-0.190306
4511.10	99.49	-0.187766
4511.20	99.50	-0.185186
4511.30	99.50	-0.182722
4511.40	99.50	-0.179936
4511.50	99.50	-0.176875
4511.60	99.50	-0.173871
4511.70	99.50	-0.171495
4511.80	99.50	-0.169186
4511.90	99.50	-0.166865
4512.00	99.50	-0.164822
4512.10	99.51	-0.162505
4512.20	99.51	-0.160221
4512.30	99.51	-0.158011
4512.40	99.51	-0.155698
4512.50	99.51	-0.153331
4512.60	99.51	-0.150911
4512.70	99.51	-0.148488
4512.80	99.51	-0.146420
4512.90	99.51	-0.144460
4513.00	99.51	-0.142329
4513.10	99.51	-0.140458
4513.20	99.51	-0.138128
4513.30	99.51	-0.135890
4513.40	99.51	-0.133955
4513.50	99.52	-0.131584
4513.60	99.52	-0.129244
